location,target,type,quantile,forecast_date,target_end_date,value
Alabama,1 wk ahead inc case,point,NA,2020-07-15,2020-07-21,155.04
Alabama,1 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-21,138.02
Alabama,1 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-21,140.9
Alabama,1 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-21,147.67
Alabama,1 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-21,154.61
Alabama,1 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-21,159.4
Alabama,1 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-21,169.66
Alabama,1 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-21,177.02
Alabama,2 wk ahead inc case,point,NA,2020-07-15,2020-07-28,162.98
Alabama,2 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-28,143.56
Alabama,2 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-28,146.05
Alabama,2 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-28,153.44
Alabama,2 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-28,163.69
Alabama,2 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-28,168.12
Alabama,2 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-28,179.49
Alabama,2 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-28,188.38
Alabama,3 wk ahead inc case,point,NA,2020-07-15,2020-08-04,167.25
Alabama,3 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-04,145.06
Alabama,3 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-04,147.42
Alabama,3 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-04,155.41
Alabama,3 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-04,169.39
Alabama,3 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-04,173.25
Alabama,3 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-04,185.7
Alabama,3 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-04,196.25
Alabama,4 wk ahead inc case,point,NA,2020-07-15,2020-08-11,167.45
Alabama,4 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-11,142.34
Alabama,4 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-11,144.83
Alabama,4 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-11,153.39
Alabama,4 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-11,171.21
Alabama,4 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-11,174.3
Alabama,4 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-11,187.77
Alabama,4 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-11,199.98
Alabama,5 wk ahead inc case,point,NA,2020-07-15,2020-08-18,163.57
Alabama,5 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-18,135.69
Alabama,5 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-18,138.56
Alabama,5 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-18,147.58
Alabama,5 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-18,168.96
Alabama,5 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-18,171.17
Alabama,5 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-18,185.5
Alabama,5 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-18,199.25
Alabama,6 wk ahead inc case,point,NA,2020-07-15,2020-08-25,156.0
Alabama,6 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-25,125.8
Alabama,6 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-25,129.23
Alabama,6 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-25,138.52
Alabama,6 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-25,162.56
Alabama,6 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-25,164.31
Alabama,6 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-25,179.12
Alabama,6 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-25,194.13
Alabama,7 wk ahead inc case,point,NA,2020-07-15,2020-09-01,145.44
Alabama,7 wk ahead inc case,quantile,0.025,2020-07-15,2020-09-01,113.66
Alabama,7 wk ahead inc case,quantile,0.1,2020-07-15,2020-09-01,117.72
Alabama,7 wk ahead inc case,quantile,0.25,2020-07-15,2020-09-01,127.06
Alabama,7 wk ahead inc case,quantile,0.5,2020-07-15,2020-09-01,152.77
Alabama,7 wk ahead inc case,quantile,0.75,2020-07-15,2020-09-01,154.26
Alabama,7 wk ahead inc case,quantile,0.9,2020-07-15,2020-09-01,169.19
Alabama,7 wk ahead inc case,quantile,0.975,2020-07-15,2020-09-01,185.07
Alabama,8 wk ahead inc case,point,NA,2020-07-15,2020-09-08,132.78
Alabama,8 wk ahead inc case,quantile,0.025,2020-07-15,2020-09-08,100.34
Alabama,8 wk ahead inc case,quantile,0.1,2020-07-15,2020-09-08,104.97
Alabama,8 wk ahead inc case,quantile,0.25,2020-07-15,2020-09-08,114.13
Alabama,8 wk ahead inc case,quantile,0.5,2020-07-15,2020-09-08,140.51
Alabama,8 wk ahead inc case,quantile,0.75,2020-07-15,2020-09-08,141.81
Alabama,8 wk ahead inc case,quantile,0.9,2020-07-15,2020-09-08,156.56
Alabama,8 wk ahead inc case,quantile,0.975,2020-07-15,2020-09-08,172.85
Alaska,1 wk ahead inc case,point,NA,2020-07-15,2020-07-21,9.77
Alaska,1 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-21,7.9
Alaska,1 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-21,8.11
Alaska,1 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-21,8.43
Alaska,1 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-21,9.42
Alaska,1 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-21,10.73
Alaska,1 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-21,11.82
Alaska,1 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-21,12.11
Alaska,2 wk ahead inc case,point,NA,2020-07-15,2020-07-28,11.43
Alaska,2 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-28,9.27
Alaska,2 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-28,9.52
Alaska,2 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-28,9.8
Alaska,2 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-28,10.89
Alaska,2 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-28,12.57
Alaska,2 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-28,13.91
Alaska,2 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-28,14.26
Alaska,3 wk ahead inc case,point,NA,2020-07-15,2020-08-04,13.34
Alaska,3 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-04,10.87
Alaska,3 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-04,11.15
Alaska,3 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-04,11.49
Alaska,3 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-04,12.56
