,FIPS,STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude,2013 Urban-Rural Code,Large Central Metro,Large Fringe Metro,Medium Metro,Small Metro,Micropolitan,Noncore,Metro,Nonmetro,Areaname,LAND.AREA,POPDENSITY
1,1001,1,1,Alabama,Autauga County,Autauga County,55601,-86.64275732,32.53492076,3,0,0,1,0,0,0,1,0,"Autauga, AL",594.44,93.53509185
2,1003,1,3,Alabama,Baldwin County,Baldwin County,218022,-87.74984468,30.66097399,4,0,0,0,1,0,0,1,0,"Baldwin, AL",1589.78,137.13973
3,1005,1,5,Alabama,Barbour County,Barbour County,24881,-85.39319698,31.86960324,6,0,0,0,0,0,1,0,1,"Barbour, AL",884.88,28.1179369
4,1007,1,7,Alabama,Bibb County,Bibb County,22400,-87.1264391,32.9986443,2,0,1,0,0,0,0,1,0,"Bibb, AL",622.58,35.9793119
5,1009,1,9,Alabama,Blount County,Blount County,57840,-86.56737096,33.98086739,2,0,1,0,0,0,0,1,0,"Blount, AL",644.78,89.70501566
6,1011,1,11,Alabama,Bullock County,Bullock County,10138,-85.71569723,32.10055422,6,0,0,0,0,0,1,0,1,"Bullock, AL",622.81,16.27783754
7,1013,1,13,Alabama,Butler County,Butler County,19680,-86.68028922,31.75243394,6,0,0,0,0,0,1,0,1,"Butler, AL",776.83,25.3337281
8,1015,1,15,Alabama,Calhoun County,Calhoun County,114277,-85.82603461,33.7714282,4,0,0,0,1,0,0,1,0,"Calhoun, AL",605.87,188.6163698
9,1017,1,17,Alabama,Chambers County,Chambers County,33615,-85.39204295,32.91437224,5,0,0,0,0,1,0,0,1,"Chambers, AL",596.53,56.35089602
10,1019,1,19,Alabama,Cherokee County,Cherokee County,26032,-85.60379372,34.17595597,6,0,0,0,0,0,1,0,1,"Cherokee, AL",553.7,47.01462886
11,1021,1,21,Alabama,Chilton County,Chilton County,44153,-86.71881367,32.84785321,2,0,1,0,0,0,0,1,0,"Chilton, AL",692.85,63.72663636
12,1023,1,23,Alabama,Choctaw County,Choctaw County,12841,-88.26320127,32.01961078,6,0,0,0,0,0,1,0,1,"Choctaw, AL",913.5,14.05692392
13,1025,1,25,Alabama,Clarke County,Clarke County,23920,-87.83080985,31.67665958,6,0,0,0,0,0,1,0,1,"Clarke, AL",1238.47,19.31415375
14,1027,1,27,Alabama,Clay County,Clay County,13275,-85.86054708,33.26908587,6,0,0,0,0,0,1,0,1,"Clay, AL",603.96,21.97993245
15,1029,1,29,Alabama,Cleburne County,Cleburne County,14987,-85.51876803,33.67455771,6,0,0,0,0,0,1,0,1,"Cleburne, AL",560.1,26.75772184
16,1031,1,31,Alabama,Coffee County,Coffee County,51909,-85.98820693,31.40262718,5,0,0,0,0,1,0,0,1,"Coffee, AL",678.97,76.45256786
17,1033,1,33,Alabama,Colbert County,Colbert County,54762,-87.80498529,34.7004338,4,0,0,0,1,0,0,1,0,"Colbert, AL",592.62,92.40660119
18,1035,1,35,Alabama,Conecuh County,Conecuh County,12277,-86.99367432,31.42926524,6,0,0,0,0,0,1,0,1,"Conecuh, AL",850.16,14.44081114
19,1037,1,37,Alabama,Coosa County,Coosa County,10715,-86.24765926,32.93622683,5,0,0,0,0,1,0,0,1,"Coosa, AL",650.93,16.4610634
20,1039,1,39,Alabama,Covington County,Covington County,36986,-86.45124254,31.2484924,6,0,0,0,0,0,1,0,1,"Covington, AL",1030.46,35.89270811
21,1041,1,41,Alabama,Crenshaw County,Crenshaw County,13824,-86.3135389,31.73150019,6,0,0,0,0,0,1,0,1,"Crenshaw, AL",608.84,22.7054727
22,1043,1,43,Alabama,Cullman County,Cullman County,83442,-86.86761942,34.1319411,5,0,0,0,0,1,0,0,1,"Cullman, AL",734.84,113.5512493
23,1045,1,45,Alabama,Dale County,Dale County,48956,-85.61103682,31.43182707,5,0,0,0,0,1,0,0,1,"Dale, AL",561.15,87.24227034
24,1047,1,47,Alabama,Dallas County,Dallas County,38310,-87.10648042,32.3259693,5,0,0,0,0,1,0,0,1,"Dallas, AL",978.7,39.14376213
25,1049,1,49,Alabama,DeKalb County,DeKalb County,71385,-85.80414264,34.45977296,6,0,0,0,0,0,1,0,1,"DeKalb, AL",777.09,91.86194649
26,1051,1,51,Alabama,Elmore County,Elmore County,81887,-86.14914658,32.596648,3,0,0,1,0,0,0,1,0,"Elmore, AL",618.49,132.3982603
27,1053,1,53,Alabama,Escambia County,Escambia County,36748,-87.16161987,31.12612255,6,0,0,0,0,0,1,0,1,"Escambia, AL",945.08,38.88348076
28,1055,1,55,Alabama,Etowah County,Etowah County,102501,-86.03476223,34.04525408,4,0,0,0,1,0,0,1,0,"Etowah, AL",534.99,191.5942354
29,1057,1,57,Alabama,Fayette County,Fayette County,16433,-87.73886197,33.72120615,6,0,0,0,0,0,1,0,1,"Fayette, AL",627.66,26.18137208
30,1059,1,59,Alabama,Franklin County,Franklin County,31363,-87.84381198,34.44167064,6,0,0,0,0,0,1,0,1,"Franklin, AL",633.82,49.48250292
31,1061,1,61,Alabama,Geneva County,Geneva County,26314,-85.8389849,31.09501669,4,0,0,0,1,0,0,1,0,"Geneva, AL",574.41,45.8104838
32,1063,1,63,Alabama,Greene County,Greene County,8233,-87.95223092,32.85313884,6,0,0,0,0,0,1,0,1,"Greene, AL",647.11,12.72272102
33,1065,1,65,Alabama,Hale County,Hale County,14726,-87.62911768,32.76266422,4,0,0,0,1,0,0,1,0,"Hale, AL",643.94,22.86859024
34,1067,1,67,Alabama,Henry County,Henry County,17209,-85.24140634,31.51469442,4,0,0,0,1,0,0,1,0,"Henry, AL",561.75,30.63462394
35,1069,1,69,Alabama,Houston County,Houston County,104722,-85.30252738,31.15318797,4,0,0,0,1,0,0,1,0,"Houston, AL",579.82,180.6112242
36,1071,1,71,Alabama,Jackson County,Jackson County,51736,-85.99930054,34.779416,5,0,0,0,0,1,0,0,1,"Jackson, AL",1077.87,47.99836715
37,1073,1,73,Alabama,Jefferson County,Jefferson County,659300,-86.89648961,33.55431428,1,1,0,0,0,0,0,1,0,"Jefferson, AL",1111.28,593.2798215
38,1075,1,75,Alabama,Lamar County,Lamar County,13844,-88.09689886,33.7792058,6,0,0,0,0,0,1,0,1,"Lamar, AL",604.85,22.88831942
39,1077,1,77,Alabama,Lauderdale County,Lauderdale County,92387,-87.65399801,34.90137239,4,0,0,0,1,0,0,1,0,"Lauderdale, AL",667.7,138.3660326
40,1079,1,79,Alabama,Lawrence County,Lawrence County,32957,-87.31104452,34.52165202,4,0,0,0,1,0,0,1,0,"Lawrence, AL",690.68,47.71674292
41,1081,1,81,Alabama,Lee County,Lee County,163941,-85.35556271,32.60113649,4,0,0,0,1,0,0,1,0,"Lee, AL",607.54,269.8439609
42,1083,1,83,Alabama,Limestone County,Limestone County,96174,-86.98137477,34.81007832,3,0,0,1,0,0,0,1,0,"Limestone, AL",559.94,171.7576883
43,1085,1,85,Alabama,Lowndes County,Lowndes County,9974,-86.6501077,32.15475001,3,0,0,1,0,0,0,1,0,"Lowndes, AL",715.91,13.93191882
