Country,TotalPop
Afghanistan,38928000
Albania,2867000
Algeria,43851000
American Samoa,55000
Andorra,77000
Angola,32866000
Antigua and Barbuda,98000
Arab World,436091000
Argentina,45303000
Armenia,2963000
Aruba,107000
Australia,25608000
Austria,8883000
Azerbaijan,10115000
"Bahamas, The",393000
Bahrain,1702000
Bangladesh,164689000
Barbados,287000
Belarus,9448000
Belgium,11538000
Belize,398000
Benin,12123000
Bhutan,772000
Bolivia,11673000
Bosnia and Herzegovina,3281000
Botswana,2352000
Brazil,212559000
British Virgin Islands,30000
Brunei Darussalam,437000
Bulgaria,6916000
Burkina Faso,20903000
Burundi,11891000
Cabo Verde,556000
Cambodia,16719000
Cameroon,26546000
Canada,37684000
Caribbean small states,7443000
Cayman Islands,66000
Central African Republic,4830000
Central Europe and the Baltics,101847000
Chad,16426000
Channel Islands,174000
Chile,19116000
China,1401379000
Colombia,50883000
Comoros,870000
"Congo, Dem. Rep.",89561000
"Congo, Rep.",5518000
Costa Rica,5094000
Cote d'Ivoire,26378000
Croatia,4052000
Cuba,11327000
Curacao,162000
Cyprus,1207000
Czech Republic,10631000
Denmark,5840000
Djibouti,988000
Dominica,72000
Dominican Republic,10848000
Early-demographic dividend,3332556000
East Asia & Pacific,2351307000
East Asia & Pacific (IDA & IBRD countries),2078467000
East Asia & Pacific (excluding high income),2104283000
Ecuador,17643000
"Egypt, Arab Rep.",102334000
El Salvador,6486000
Equatorial Guinea,1403000
Estonia,1313000
Eswatini,1160000
Ethiopia,114964000
Euro area,341989000
Europe & Central Asia,922779000
Europe & Central Asia (IDA & IBRD countries),462615000
Europe & Central Asia (excluding high income),420757000
European Union,513719000
Faroe Islands,49000
Fiji,896000
Finland,5548000
Fragile and conflict affected situations,538961000
France,67443000
French Polynesia,281000
Gabon,2226000
"Gambia, The",2417000
Georgia,3711000
Germany,82678000
Ghana,31073000
Gibraltar,34000
Greece,10665000
Grenada,113000
Guam,169000
Guatemala,17916000
Guinea,13133000
Guinea-Bissau,1968000
Guyana,787000
Haiti,11403000
Heavily indebted poor countries (HIPC),823482000
High income,1219876000
Honduras,9905000
"Hong Kong SAR, China",7564000
Hungary,9695000
Iceland,359000
India,1380004000
Indonesia,273524000
"Iran, Islamic Rep.",83993000
Iraq,40222000
Ireland,4933000
Isle of Man,85000
Israel,9152000
Italy,60250000
Jamaica,2961000
Japan,125661000
Jordan,10203000
Kazakhstan,18654000
Kenya,53771000
Kiribati,119000
"Korea, Dem. People’s Rep.",25779000
"Korea, South",51922000
Kosovo,1870000
Kuwait,4271000
Kyrgyz Republic,6489000
Lao PDR,7276000
Late-demographic dividend,2307681000
Latin America & Caribbean,653182000
Latin America & Caribbean (excluding high income),620352000
Latin America & the Caribbean (IDA & IBRD countries),637480000
Latvia,1905000
Least developed countries: UN classification,1057439000
Lebanon,6825000
Lesotho,2142000
Liberia,5058000
Libya,6871000
Liechtenstein,38000
Lithuania,2767000
Low & middle income,6534303000
Low income,743236000
Lower middle income,3105181000
Luxembourg,622000
"Macao SAR, China",649000
Madagascar,27691000
Malawi,19130000
Malaysia,32366000
Maldives,541000
Mali,20251000
Malta,486000
Marshall Islands,59000
Mauritania,4650000
Mauritius,1270000
Mexico,128933000
"Micronesia, Fed. Sts.",115000
Middle East & North Africa,464460000
Middle East & North Africa (IDA & IBRD countries),391344000
Middle East & North Africa (excluding high income),396157000
Middle income,5791067000
Moldova,3525000
Monaco,39000
Mongolia,3278000
Montenegro,622000
Morocco,36911000
Mozambique,31255000
Myanmar,54410000
Namibia,2541000
Nauru,13000
Nepal,29137000
Netherlands,17330000
New Caledonia,291000
New Zealand,4971000
Nicaragua,6625000
Niger,24207000
Nigeria,206140000
North America,369599000
North Macedonia,2083000
Northern Mariana Islands,58000
Norway,5422000
OECD members,1315534000
Oman,5107000
Other small states,31882000
Pacific island small states,2530000
Pakistan,220892000
Palau,18000
Panama,4315000
Papua New Guinea,8947000
Paraguay,7133000
Peru,32972000
Philippines,109581000
Poland,37806000
Portugal,10195000
Post-demographic dividend,1116268000
Pre-demographic dividend,970795000
Puerto Rico,3184000
Qatar,2881000
Romania,19247000
Russian Federation,144222000
Rwanda,12952000
Samoa,198000
San Marino,34000
Sao Tome and Principe,219000
Saudi Arabia,34814000
Senegal,16744000
Serbia,6929000
Seychelles,98000
Sierra Leone,7977000
Singapore,5772000
Slovak Republic,5448000
Slovenia,2067000
Small states,41855000
Solomon Islands,687000
Somalia,15893000
South Africa,59309000
South Asia,1856800000
South Asia (IDA & IBRD),1856800000
South Sudan,11194000
Spain,46711000
Sri Lanka,21837000
St. Kitts and Nevis,53000
St. Lucia,184000
St. Vincent and the Grenadines,111000
Sub-Saharan Africa,1136052000
Sub-Saharan Africa (IDA & IBRD countries),1136052000
Sub-Saharan Africa (excluding high income),1135954000
Sudan,43849000
Suriname,587000
Sweden,10319000
Switzerland,8641000
Syrian Arab Republic,17501000
Tajikistan,9538000
Tanzania,59734000
Thailand,69800000
Timor-Leste,1318000
Togo,8279000
Tonga,106000
Trinidad and Tobago,1399000
Tunisia,11819000
Turkey,84339000
Turkmenistan,6031000
Turks and Caicos Islands,39000
Tuvalu,12000
Uganda,45741000
Ukraine,44158000
United Arab Emirates,9890000
United Kingdom,67224000
United States,331915000
Upper middle income,2685886000
Uruguay,3474000
Uzbekistan,33749000
Vanuatu,307000
"Venezuela, RB",28436000
Vietnam,97339000
Virgin Islands (U.S.),107000
West Bank and Gaza,4813000
World,7754179000
"Yemen, Rep.",29826000
Zambia,18384000
Zimbabwe,14863000
